,player_id,Player,pos,GP,TOI,TOI_pp,Goals,Assists,First_Assists,Total_Points,Total_Points_pp,Shots,ixG,iCF,iSCF,iHDCF,Hits,Shots_Blocked,SF,CF,GF,xGF,Def_Zone_Starts,Off_Zone_Starts,oiSH,SCF,GA,G-ixG,OZ Start%,GF%
543,8479347,Tyler Benson,F,2,12.566666666666599,0.5,0,0,0,0,0.0,0,0.12,2,2,1,2,0,1,7,0,0.22,1,2,0.0,3,0,-0.12,0.6666666666666666,
544,8479348,Kale Clague,D,33,498.43333333333425,1.583333333333327,0,4,0,4,0.0,24,1.2000000000000002,51,16,3,24,24,259,462,24,24.369999999999997,63,94,0.09266409266409266,264,27,-1.2000000000000002,0.5987261146496815,0.47058823529411764
545,8479351,Sam Steel,F,65,972.4499999999999,53.46666666666659,10,18,7,28,3.0,85,10.170000000000002,149,108,49,46,15,493,923,51,50.349999999999994,107,185,0.10344827586206896,472,46,-0.1700000000000017,0.6335616438356164,0.5257731958762887
546,8479353,Brett Howden,F,54,705.1833333333324,0.9500000000000041,6,7,4,13,0.0,53,7.9799999999999995,108,76,35,107,34,267,534,23,25.260000000000005,133,84,0.08614232209737828,269,24,-1.9799999999999995,0.3870967741935484,0.48936170212765956
547,8479356,Kieffer Bellows,F,28,271.33333333333303,11.983333333333391,3,0,0,3,0.0,32,2.2100000000000004,62,22,9,48,10,114,223,6,9.160000000000002,28,48,0.05263157894736842,95,14,0.7899999999999996,0.631578947368421,0.3
548,8479359,Beck Malenstyn,F,9,89.216666666667,0.116666666666667,1,1,1,2,0.0,7,0.41000000000000003,12,5,2,34,5,23,60,3,1.9600000000000002,25,6,0.13043478260869565,21,4,0.59,0.1935483870967742,0.42857142857142855
549,8479362,Riley Tufte,F,3,23.866666666667,0.0,0,0,0,0,0.0,1,0.05,3,2,1,6,0,2,12,0,0.14,2,1,0.0,3,1,-0.05,0.3333333333333333,0.0
550,8479365,Trent Frederic,F,79,941.5000000000002,5.716666666666686,17,14,6,31,0.0,120,13.130000000000003,189,130,63,105,36,456,830,51,43.530000000000015,125,95,0.1118421052631579,467,24,3.8699999999999974,0.4318181818181818,0.68
551,8479366,Logan Brown,F,30,312.1000000000004,26.000000000000185,2,4,2,6,0.0,18,1.5600000000000005,33,21,7,22,7,129,235,8,9.610000000000001,19,40,0.06201550387596899,118,12,0.4399999999999995,0.6779661016949152,0.4
552,8479367,William Lockwood,F,13,133.60000000000062,1.1166666666666711,0,1,0,1,0.0,12,1.5600000000000003,20,12,6,37,13,60,101,1,4.890000000000001,17,26,0.016666666666666666,49,9,-1.5600000000000003,0.6046511627906976,0.1
553,8479368,Max Jones,F,69,877.2333333333316,21.71666666666671,9,10,4,19,0.0,107,12.260000000000002,185,120,62,110,18,385,699,25,33.68000000000001,130,104,0.06493506493506493,347,50,-3.2600000000000016,0.4444444444444444,0.3333333333333333
554,8479369,Andrew Peeke,D,80,1699.7500000000007,4.366666666666672,6,7,2,13,0.0,90,3.1100000000000003,188,42,5,180,197,666,1298,52,61.09,407,153,0.07807807807807808,606,136,2.8899999999999997,0.2732142857142857,0.2765957446808511
